0009_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,30.,0.,30.
0009_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,30.,0.,30.
0009_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,30.,0.,30.
0009_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,30.,0.,30.
0009_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,30.,0.,30.
0009_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,30.,0.,30.
0012_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,0.,0.,30.
0012_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,0.,0.,30.
0012_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,0.,0.,30.
0012_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,0.,0.,30.
0012_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,0.,0.,30.
0012_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,0.,0.,30.
0015_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,-30.,0.,30.
0015_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,-30.,0.,30.
0015_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,-30.,0.,30.
0015_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,-30.,0.,30.
0015_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,-30.,0.,30.
0015_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,-30.,0.,30.
0037_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,30.,0.,-0.
0037_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,30.,0.,-0.
0037_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,30.,0.,-0.
0037_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,30.,0.,-0.
0037_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,30.,0.,-0.
0037_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,30.,0.,-0.
0040_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,0.,0.,-0.
0040_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,0.,0.,-0.
0040_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,0.,0.,-0.
0040_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,0.,0.,-0.
0040_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,0.,0.,-0.
0040_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,0.,0.,-0.
0043_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,-30.,0.,-0.
0043_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,-30.,0.,-0.
0043_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,-30.,0.,-0.
0043_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,-30.,0.,-0.
0043_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,-30.,0.,-0.
0043_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,-30.,0.,-0.
0065_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,30.,0.,-30.
0065_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,30.,0.,-30.
0065_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,30.,0.,-30.
0065_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,30.,0.,-30.
0065_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,30.,0.,-30.
0065_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,30.,0.,-30.
0068_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,0.,0.,-30.
0068_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,0.,0.,-30.
0068_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,0.,0.,-30.
0068_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,0.,0.,-30.
0068_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,0.,0.,-30.
0068_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,0.,0.,-30.
0071_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,-30.,0.,-30.
0071_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,-30.,0.,-30.
0071_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,-30.,0.,-30.
0071_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,-30.,0.,-30.
0071_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,-30.,0.,-30.
0071_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,-30.,0.,-30.
