f,-1,0,0,0,1,0,0,0,-1,0,0,0
r,0,0,-1,0,1,0,1,0,0,0,0,0
b,1,0,0,0,1,0,0,0,1,0,0,0
l,0,0,1,0,1,0,-1,0.0,0,0,0,0
u,-1,0,0,0,0,1,0,1,0,0,0,0
d,-1,0,0,0,0,-1,0,-1,0,0,0,0
