0000_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,0.,0.,50.
0000_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,0.,0.,50.
0000_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,0.,0.,50.
0000_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,0.,0.,50.
0000_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,0.,0.,50.
0000_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,0.,0.,50.
0001_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,30.,0.,40.
0001_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,30.,0.,40.
0001_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,30.,0.,40.
0001_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,30.,0.,40.
0001_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,30.,0.,40.
0001_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,30.,0.,40.
0002_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,20.,0.,40.
0002_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,20.,0.,40.
0002_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,20.,0.,40.
0002_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,20.,0.,40.
0002_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,20.,0.,40.
0002_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,20.,0.,40.
0003_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,10.,0.,40.
0003_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,10.,0.,40.
0003_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,10.,0.,40.
0003_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,10.,0.,40.
0003_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,10.,0.,40.
0003_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,10.,0.,40.
0004_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,0.,0.,40.
0004_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,0.,0.,40.
0004_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,0.,0.,40.
0004_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,0.,0.,40.
0004_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,0.,0.,40.
0004_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,0.,0.,40.
0005_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,-10.,0.,40.
0005_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,-10.,0.,40.
0005_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,-10.,0.,40.
0005_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,-10.,0.,40.
0005_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,-10.,0.,40.
0005_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,-10.,0.,40.
0006_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,-20.,0.,40.
0006_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,-20.,0.,40.
0006_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,-20.,0.,40.
0006_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,-20.,0.,40.
0006_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,-20.,0.,40.
0006_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,-20.,0.,40.
0007_F,-1.,0.,0.,0.,1.,0.,-0.,0.,-1.,-30.,0.,40.
0007_R,-0.,0.,-1.,0.,1.,0.,1.,0.,-0.,-30.,0.,40.
0007_B,1.,0.,0.,0.,1.,0.,0.,0.,1.,-30.,0.,40.
0007_L,0.,0.,1.,0.,1.,0.,-1.,0.,0.,-30.,0.,40.
0007_U,0.,0.,1.,1.,0.,0.,0.,1.,0.,-30.,0.,40.
0007_D,0.,0.,1.,-1.,0.,0.,0.,-1.,0.,-30.,0.,40.
